source,company,sector,target_role,linkedin_search,date_found,status,priority,notes,draft_email
Target Company List,Anglo American,mining,CTO,https://www.linkedin.com/search/results/people/?keywords=Anglo+American+CTO&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:08.229227,new,high,Direct outreach to CTO at Anglo American,"Subject: Anglo American - AI Solutions for Mining Operations

Hi CTO,

I noticed Anglo American is actively investing in technology and innovation.

I'm Mahlo Kgotleng, founder of Kgotla AI. We specialize in AI-driven solutions for mining operations—specifically addressing unplanned equipment downtime and safety incidents costing millions.

Recent wins:
• Reduced equipment downtime by 35% for a mining client using predictive maintenance AI
• Automated compliance reporting saving 200+ hours/month for a power utility
• Built intelligent safety monitoring reducing incidents by 40%

I'd love to explore how we can deliver similar results for Anglo American. 

Worth a 15-minute call this week?

Best,
Mahlo Kgotleng
Founder, Kgotla AI
https://www.linkedin.com/in/mahlo-kgotleng-473830194
P.S. We're currently offering 50% equity partnerships for Enterprise Development—happy to share details.
"
Target Company List,Anglo American,mining,Head of Innovation,https://www.linkedin.com/search/results/people/?keywords=Anglo+American+Head+of+Innovation&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:08.229246,new,high,Direct outreach to Head of Innovation at Anglo American,"Subject: Anglo American - AI Solutions for Mining Operations

Hi Head of Innovation,

I noticed Anglo American is actively investing in technology and innovation.

I'm Mahlo Kgotleng, founder of Kgotla AI. We specialize in AI-driven solutions for mining operations—specifically addressing unplanned equipment downtime and safety incidents costing millions.

Recent wins:
• Reduced equipment downtime by 35% for a mining client using predictive maintenance AI
• Automated compliance reporting saving 200+ hours/month for a power utility
• Built intelligent safety monitoring reducing incidents by 40%

I'd love to explore how we can deliver similar results for Anglo American. 

Worth a 15-minute call this week?

Best,
Mahlo Kgotleng
Founder, Kgotla AI
https://www.linkedin.com/in/mahlo-kgotleng-473830194
P.S. We're currently offering 50% equity partnerships for Enterprise Development—happy to share details.
"
Target Company List,Anglo American,mining,Digital Transformation Lead,https://www.linkedin.com/search/results/people/?keywords=Anglo+American+Digital+Transformation+Lead&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:08.229253,new,high,Direct outreach to Digital Transformation Lead at Anglo American,"Subject: Anglo American - AI Solutions for Mining Operations

Hi Digital Transformation Lead,

I noticed Anglo American is actively investing in technology and innovation.

I'm Mahlo Kgotleng, founder of Kgotla AI. We specialize in AI-driven solutions for mining operations—specifically addressing unplanned equipment downtime and safety incidents costing millions.

Recent wins:
• Reduced equipment downtime by 35% for a mining client using predictive maintenance AI
• Automated compliance reporting saving 200+ hours/month for a power utility
• Built intelligent safety monitoring reducing incidents by 40%

I'd love to explore how we can deliver similar results for Anglo American. 

Worth a 15-minute call this week?

Best,
Mahlo Kgotleng
Founder, Kgotla AI
https://www.linkedin.com/in/mahlo-kgotleng-473830194
P.S. We're currently offering 50% equity partnerships for Enterprise Development—happy to share details.
"
Target Company List,Sibanye-Stillwater,mining,CTO,https://www.linkedin.com/search/results/people/?keywords=Sibanye-Stillwater+CTO&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:08.229260,new,high,Direct outreach to CTO at Sibanye-Stillwater,"Subject: Sibanye-Stillwater - AI Solutions for Mining Operations

Hi CTO,

I noticed Sibanye-Stillwater is actively investing in technology and innovation.

I'm Mahlo Kgotleng, founder of Kgotla AI. We specialize in AI-driven solutions for mining operations—specifically addressing unplanned equipment downtime and safety incidents costing millions.

Recent wins:
• Reduced equipment downtime by 35% for a mining client using predictive maintenance AI
• Automated compliance reporting saving 200+ hours/month for a power utility
• Built intelligent safety monitoring reducing incidents by 40%

I'd love to explore how we can deliver similar results for Sibanye-Stillwater. 

Worth a 15-minute call this week?

Best,
Mahlo Kgotleng
Founder, Kgotla AI
https://www.linkedin.com/in/mahlo-kgotleng-473830194
P.S. We're currently offering 50% equity partnerships for Enterprise Development—happy to share details.
"
Target Company List,Sibanye-Stillwater,mining,Head of Innovation,https://www.linkedin.com/search/results/people/?keywords=Sibanye-Stillwater+Head+of+Innovation&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:08.229265,new,high,Direct outreach to Head of Innovation at Sibanye-Stillwater,"Subject: Sibanye-Stillwater - AI Solutions for Mining Operations

Hi Head of Innovation,

I noticed Sibanye-Stillwater is actively investing in technology and innovation.

I'm Mahlo Kgotleng, founder of Kgotla AI. We specialize in AI-driven solutions for mining operations—specifically addressing unplanned equipment downtime and safety incidents costing millions.

Recent wins:
• Reduced equipment downtime by 35% for a mining client using predictive maintenance AI
• Automated compliance reporting saving 200+ hours/month for a power utility
• Built intelligent safety monitoring reducing incidents by 40%

I'd love to explore how we can deliver similar results for Sibanye-Stillwater. 

Worth a 15-minute call this week?

Best,
Mahlo Kgotleng
Founder, Kgotla AI
https://www.linkedin.com/in/mahlo-kgotleng-473830194
P.S. We're currently offering 50% equity partnerships for Enterprise Development—happy to share details.
"
Target Company List,Sibanye-Stillwater,mining,Digital Transformation Lead,https://www.linkedin.com/search/results/people/?keywords=Sibanye-Stillwater+Digital+Transformation+Lead&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:08.229270,new,high,Direct outreach to Digital Transformation Lead at Sibanye-Stillwater,"Subject: Sibanye-Stillwater - AI Solutions for Mining Operations

Hi Digital Transformation Lead,

I noticed Sibanye-Stillwater is actively investing in technology and innovation.

I'm Mahlo Kgotleng, founder of Kgotla AI. We specialize in AI-driven solutions for mining operations—specifically addressing unplanned equipment downtime and safety incidents costing millions.

Recent wins:
• Reduced equipment downtime by 35% for a mining client using predictive maintenance AI
• Automated compliance reporting saving 200+ hours/month for a power utility
• Built intelligent safety monitoring reducing incidents by 40%

I'd love to explore how we can deliver similar results for Sibanye-Stillwater. 

Worth a 15-minute call this week?

Best,
Mahlo Kgotleng
Founder, Kgotla AI
https://www.linkedin.com/in/mahlo-kgotleng-473830194
P.S. We're currently offering 50% equity partnerships for Enterprise Development—happy to share details.
"
Target Company List,Harmony Gold,mining,CTO,https://www.linkedin.com/search/results/people/?keywords=Harmony+Gold+CTO&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:08.229275,new,high,Direct outreach to CTO at Harmony Gold,"Subject: Harmony Gold - AI Solutions for Mining Operations

Hi CTO,

I noticed Harmony Gold is actively investing in technology and innovation.

I'm Mahlo Kgotleng, founder of Kgotla AI. We specialize in AI-driven solutions for mining operations—specifically addressing unplanned equipment downtime and safety incidents costing millions.

Recent wins:
• Reduced equipment downtime by 35% for a mining client using predictive maintenance AI
• Automated compliance reporting saving 200+ hours/month for a power utility
• Built intelligent safety monitoring reducing incidents by 40%

I'd love to explore how we can deliver similar results for Harmony Gold. 

Worth a 15-minute call this week?

Best,
Mahlo Kgotleng
Founder, Kgotla AI
https://www.linkedin.com/in/mahlo-kgotleng-473830194
P.S. We're currently offering 50% equity partnerships for Enterprise Development—happy to share details.
"
Target Company List,Harmony Gold,mining,Head of Innovation,https://www.linkedin.com/search/results/people/?keywords=Harmony+Gold+Head+of+Innovation&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:08.229281,new,high,Direct outreach to Head of Innovation at Harmony Gold,"Subject: Harmony Gold - AI Solutions for Mining Operations

Hi Head of Innovation,

I noticed Harmony Gold is actively investing in technology and innovation.

I'm Mahlo Kgotleng, founder of Kgotla AI. We specialize in AI-driven solutions for mining operations—specifically addressing unplanned equipment downtime and safety incidents costing millions.

Recent wins:
• Reduced equipment downtime by 35% for a mining client using predictive maintenance AI
• Automated compliance reporting saving 200+ hours/month for a power utility
• Built intelligent safety monitoring reducing incidents by 40%

I'd love to explore how we can deliver similar results for Harmony Gold. 

Worth a 15-minute call this week?

Best,
Mahlo Kgotleng
Founder, Kgotla AI
https://www.linkedin.com/in/mahlo-kgotleng-473830194
P.S. We're currently offering 50% equity partnerships for Enterprise Development—happy to share details.
"
Target Company List,Harmony Gold,mining,Digital Transformation Lead,https://www.linkedin.com/search/results/people/?keywords=Harmony+Gold+Digital+Transformation+Lead&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:08.229285,new,high,Direct outreach to Digital Transformation Lead at Harmony Gold,"Subject: Harmony Gold - AI Solutions for Mining Operations

Hi Digital Transformation Lead,

I noticed Harmony Gold is actively investing in technology and innovation.

I'm Mahlo Kgotleng, founder of Kgotla AI. We specialize in AI-driven solutions for mining operations—specifically addressing unplanned equipment downtime and safety incidents costing millions.

Recent wins:
• Reduced equipment downtime by 35% for a mining client using predictive maintenance AI
• Automated compliance reporting saving 200+ hours/month for a power utility
• Built intelligent safety monitoring reducing incidents by 40%

I'd love to explore how we can deliver similar results for Harmony Gold. 

Worth a 15-minute call this week?

Best,
Mahlo Kgotleng
Founder, Kgotla AI
https://www.linkedin.com/in/mahlo-kgotleng-473830194
P.S. We're currently offering 50% equity partnerships for Enterprise Development—happy to share details.
"
Target Company List,Gold Fields,mining,CTO,https://www.linkedin.com/search/results/people/?keywords=Gold+Fields+CTO&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:08.229290,new,high,Direct outreach to CTO at Gold Fields,"Subject: Gold Fields - AI Solutions for Mining Operations

Hi CTO,

I noticed Gold Fields is actively investing in technology and innovation.

I'm Mahlo Kgotleng, founder of Kgotla AI. We specialize in AI-driven solutions for mining operations—specifically addressing unplanned equipment downtime and safety incidents costing millions.

Recent wins:
• Reduced equipment downtime by 35% for a mining client using predictive maintenance AI
• Automated compliance reporting saving 200+ hours/month for a power utility
• Built intelligent safety monitoring reducing incidents by 40%

I'd love to explore how we can deliver similar results for Gold Fields. 

Worth a 15-minute call this week?

Best,
Mahlo Kgotleng
Founder, Kgotla AI
https://www.linkedin.com/in/mahlo-kgotleng-473830194
P.S. We're currently offering 50% equity partnerships for Enterprise Development—happy to share details.
"
